film,year_ceremony,tmdb_id,budget,revenue,runtime,genres,release_date,poster_url,status
Wings,1928,28966,2000000,3600000,144,"Drama, Action, War, Romance",1927-08-12,https://image.tmdb.org/t/p/w500/kEl6KCBgdmT1Nex3ka0EIWAOmtm.jpg,Found
The Broadway Melody,1929,65203,379000,4358000,101,"Music, Romance, Drama",1929-02-08,https://image.tmdb.org/t/p/w500/giq8GJs8YGMzHxeKxNSuwzAdd1c.jpg,Found
Going My Way,1945,17661,0,16300000,126,"Drama, Comedy, Music",1944-01-01,https://image.tmdb.org/t/p/w500/838yNJnOk6iZj5YK1MoKiN2n1hw.jpg,Found
The Lost Weekend,1946,28580,1250000,11000000,101,Drama,1945-11-29,https://image.tmdb.org/t/p/w500/8ggIOoCzt8xT2ePl8DdlRtXgcOh.jpg,Found
The Best Years of Our Lives,1947,887,2100000,23650000,171,"Drama, Romance",1946-12-25,https://image.tmdb.org/t/p/w500/gd5EoAU4MM57sW3vlWxJ0NMM8cV.jpg,Found
Gentleman's Agreement,1948,33667,2000000,7800000,118,Drama,1947-11-11,https://image.tmdb.org/t/p/w500/aCCRbcmigPk00f34hpJuWZuvABo.jpg,Found
Hamlet,1949,23383,750000,0,153,Drama,1948-12-10,https://image.tmdb.org/t/p/w500/woO9SgU2vTRMZeG0YqOLeoIqlzC.jpg,Found
All the King's Men,1950,25430,0,0,109,Drama,1949-11-16,https://image.tmdb.org/t/p/w500/7o8nnvFnkekDAlIYznNUWzxQFM6.jpg,Found
All about Eve,1951,705,1400000,8402553,139,Drama,1950-11-09,https://image.tmdb.org/t/p/w500/blBzZaatPWVuWpXEnPscMA4Xp6m.jpg,Found
An American in Paris,1952,2769,5635000,6981000,113,"Music, Romance, Comedy",1951-09-26,https://image.tmdb.org/t/p/w500/lyDXkvG53ldz6Cf7dbjJl7TaoP5.jpg,Found
The Greatest Show on Earth,1953,27191,4000000,36000000,152,"Drama, Romance",1952-02-16,https://image.tmdb.org/t/p/w500/cKI0yGPRh1IlvRKKJRoMZruior8.jpg,Found
From Here to Eternity,1954,11426,1650000,30500000,118,"War, Romance, Drama",1953-08-28,https://image.tmdb.org/t/p/w500/xO1LHnh9aQlQFFq1DxyQrOTia1S.jpg,Found
On the Waterfront,1955,654,910000,9600631,108,"Crime, Drama, Romance",1954-06-22,https://image.tmdb.org/t/p/w500/fKjLZy9W8VxMOp5OoyWojmLVCQw.jpg,Found
Marty,1956,15919,343000,3000000,90,"Drama, Romance",1955-04-11,https://image.tmdb.org/t/p/w500/8tnGO5VoAQII4DbE3hozWKhV4BY.jpg,Found
Around the World in 80 Days,1957,2897,6000000,42000000,182,"Adventure, Comedy, Family, Fantasy, Romance",1956-10-17,https://image.tmdb.org/t/p/w500/kk6Rrwh0toMz9tjuUHdS4O3v2Rk.jpg,Found
