year_film,year_ceremony,ceremony,category,canon_category,name,film,winner,tmdb_id
1927,1928,1,OUTSTANDING PICTURE,BEST PICTURE,Paramount Famous Lasky,Wings,True,28966
1928,1929,2,OUTSTANDING PICTURE,BEST PICTURE,Metro-Goldwyn-Mayer,The Broadway Melody,True,65203
1929,1930,3,OUTSTANDING PRODUCTION,BEST PICTURE,Universal,All Quiet on the Western Front,True,49046
1930,1931,4,OUTSTANDING PRODUCTION,BEST PICTURE,RKO Radio,Cimarron,True,42861
1931,1932,5,OUTSTANDING PRODUCTION,BEST PICTURE,Metro-Goldwyn-Mayer,Grand Hotel,True,80909
1932,1933,6,OUTSTANDING PRODUCTION,BEST PICTURE,Fox,Cavalcade,True,865417
1934,1935,7,OUTSTANDING PRODUCTION,BEST PICTURE,Columbia,It Happened One Night,True,3078
1935,1936,8,OUTSTANDING PRODUCTION,BEST PICTURE,Metro-Goldwyn-Mayer,Mutiny on the Bounty,True,12311
1936,1937,9,OUTSTANDING PRODUCTION,BEST PICTURE,Metro-Goldwyn-Mayer,The Great Ziegfeld,True,43277
1937,1938,10,OUTSTANDING PRODUCTION,BEST PICTURE,Warner Bros.,The Life of Emile Zola,True,43278
1938,1939,11,OUTSTANDING PRODUCTION,BEST PICTURE,Columbia,You Can't Take It with You,True,34106
1939,1940,12,OUTSTANDING PRODUCTION,BEST PICTURE,Selznick International Pictures,Gone with the Wind,True,770
1940,1941,13,OUTSTANDING PRODUCTION,BEST PICTURE,Selznick International Pictures,Rebecca,True,223
1941,1942,14,OUTSTANDING MOTION PICTURE,BEST PICTURE,20th Century-Fox,How Green Was My Valley,True,43266
1942,1943,15,OUTSTANDING MOTION PICTURE,BEST PICTURE,Metro-Goldwyn-Mayer,Mrs. Miniver,True,27367
1943,1944,16,OUTSTANDING MOTION PICTURE,BEST PICTURE,Warner Bros.,Casablanca,True,289
1944,1945,17,BEST MOTION PICTURE,BEST PICTURE,Paramount,Going My Way,True,17661
1945,1946,18,BEST MOTION PICTURE,BEST PICTURE,Paramount,The Lost Weekend,True,28580
1946,1947,19,BEST MOTION PICTURE,BEST PICTURE,Samuel Goldwyn Productions,The Best Years of Our Lives,True,887
1947,1948,20,BEST MOTION PICTURE,BEST PICTURE,20th Century-Fox,Gentleman's Agreement,True,33667
1948,1949,21,BEST MOTION PICTURE,BEST PICTURE,J. Arthur Rank/Two Cities Films,Hamlet,True,23383
1949,1950,22,BEST MOTION PICTURE,BEST PICTURE,Robert Rossen Productions,All the King's Men,True,25430
1950,1951,23,BEST MOTION PICTURE,BEST PICTURE,20th Century-Fox,All about Eve,True,705
1951,1952,24,BEST MOTION PICTURE,BEST PICTURE,Arthur Freed,An American in Paris,True,2769
1952,1953,25,BEST MOTION PICTURE,BEST PICTURE,Cecil B. DeMille,The Greatest Show on Earth,True,27191
1953,1954,26,BEST MOTION PICTURE,BEST PICTURE,Buddy Adler,From Here to Eternity,True,11426
1954,1955,27,BEST MOTION PICTURE,BEST PICTURE,Sam Spiegel,On the Waterfront,True,654
1955,1956,28,BEST MOTION PICTURE,BEST PICTURE,Harold Hecht,Marty,True,15919
1956,1957,29,BEST MOTION PICTURE,BEST PICTURE,Michael Todd,Around the World in 80 Days,True,2897
1957,1958,30,BEST MOTION PICTURE,BEST PICTURE,Sam Spiegel,The Bridge on the River Kwai,True,826
1958,1959,31,BEST MOTION PICTURE,BEST PICTURE,Arthur Freed,Gigi,True,17281
1959,1960,32,BEST MOTION PICTURE,BEST PICTURE,Sam Zimbalist,Ben-Hur,True,665
1960,1961,33,BEST MOTION PICTURE,BEST PICTURE,Billy Wilder,The Apartment,True,284
